DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
517,1-97,"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),,Government of Thailand,800,,1,Common Border,1978,1,2,1975-12-15,2,1977-12-31,5,811,,800,,"800, 811",3,1.0-2016
517,1-97,"Cambodia (Kampuchea), Thailand",Government of Cambodia (Kampuchea),,Government of Thailand,800,,1,Common Border,2011,1,2,1975-12-15,2,2011-04-28,2,811,,800,,"800, 811",3,1.0-2016
518,1-102,Syria,Government of Syria,,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),1110,,2,,1966,1,3,1966-02-23,1,1966-02-23,1,652,,,,652,2,1.0-2016
519,1-102,Syria,Government of Syria,,Muslim Brotherhood,1111,,2,,1979,1,3,1979-06-16,1,1979-06-16,1,652,,,,652,2,1.0-2016
519,1-102,Syria,Government of Syria,,Muslim Brotherhood,1111,,2,,1980,1,3,1979-06-16,1,1979-06-16,1,652,,,,652,2,1.0-2016
519,1-102,Syria,Government of Syria,,Muslim Brotherhood,1111,,2,,1981,1,3,1979-06-16,1,1979-06-16,1,652,,,,652,2,1.0-2016
519,1-102,Syria,Government of Syria,,Muslim Brotherhood,1111,,2,,1982,2,3,1979-06-16,1,1979-06-16,1,652,,,,652,2,1.0-2016
520,1-113,Sudan,Government of Sudan,,Sudanese Communist Party,1310,,2,,1971,1,3,1971-07-22,1,1971-07-22,1,625,,,,625,4,1.0-2016
521,1-113,Sudan,Government of Sudan,,Islamic Charter Front,1311,,2,,1976,1,3,1976-07-02,1,1976-07-02,1,625,,,,625,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,,WSLF,1345,,1,Ogaden,1976,1,3,1976-01-04,2,1976-10-31,3,530,,,,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,"Government of Cuba, Government of South Yemen",WSLF,1345,Government of Somalia,1,Ogaden,1977,2,4,1976-01-04,2,1976-10-31,3,530,"40, 680",,520,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,"Government of Cuba, Government of South Yemen",WSLF,1345,,1,Ogaden,1978,2,4,1976-01-04,2,1976-10-31,3,530,"40, 680",,,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,Government of Cuba,WSLF,1345,,1,Ogaden,1979,1,4,1976-01-04,2,1976-10-31,3,530,40,,,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,Government of Cuba,WSLF,1345,,1,Ogaden,1980,1,4,1976-01-04,2,1976-10-31,3,530,40,,,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,Government of Cuba,WSLF,1345,,1,Ogaden,1981,1,4,1976-01-04,2,1976-10-31,3,530,40,,,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,Government of Cuba,WSLF,1345,,1,Ogaden,1982,1,4,1976-01-04,2,1976-10-31,3,530,40,,,530,4,1.0-2016
522,1-133,Ethiopia,Government of Ethiopia,Government of Cuba,WSLF,1345,,1,Ogaden,1983,1,4,1976-01-04,2,1976-10-31,3,530,40,,,530,4,1.0-2016
525,1-146,Liberia,Government of Liberia,,Military faction (forces of Samuel Doe),1357,,2,,1980,1,3,1980-04-12,1,1980-04-12,1,450,,,,450,4,1.0-2016
526,1-157,Sri Lanka,Government of Sri Lanka,,TELO,1164,,1,Eelam,1984,1,3,1978-05-06,1,1984-11-20,1,780,,,,780,3,1.0-2016
526,1-157,Sri Lanka,Government of Sri Lanka,,TELO,1164,,1,Eelam,1985,1,3,1978-05-06,1,1984-11-20,1,780,,,,780,3,1.0-2016
528,1-107,Nigeria,Government of Nigeria,,Republic of Biafra,1308,,1,Biafra,1967,2,3,1967-07-06,2,1967-07-06,2,475,,,,475,4,1.0-2016
528,1-107,Nigeria,Government of Nigeria,,Republic of Biafra,1308,,1,Biafra,1968,2,3,1967-07-06,2,1967-07-06,2,475,,,,475,4,1.0-2016
528,1-107,Nigeria,Government of Nigeria,,Republic of Biafra,1308,,1,Biafra,1969,2,3,1967-07-06,2,1967-07-06,2,475,,,,475,4,1.0-2016
528,1-107,Nigeria,Government of Nigeria,,Republic of Biafra,1308,,1,Biafra,1970,2,3,1967-07-06,2,1967-07-06,2,475,,,,475,4,1.0-2016
529,1-104,"Egypt, Israel",Government of Egypt,,Government of Israel,666,,1,Suez/Sinai,1967,2,2,1967-06-05,1,1967-06-05,1,651,,666,,"651, 666",2,1.0-2016
529,1-104,"Egypt, Israel",Government of Egypt,,Government of Israel,666,,1,Suez/Sinai,1969,1,2,1967-06-05,1,1969-03-06,1,651,,666,,"651, 666",2,1.0-2016
529,1-104,"Egypt, Israel",Government of Egypt,,Government of Israel,666,,1,Suez/Sinai,1970,1,2,1967-06-05,1,1969-03-06,1,651,,666,,"651, 666",2,1.0-2016
529,1-104,"Egypt, Israel",Government of Egypt,,Government of Israel,666,,1,Suez/Sinai,1973,2,2,1967-06-05,1,1973-10-06,1,651,,666,,"651, 666",2,1.0-2016
530,1-105,"Israel, Jordan",Government of Israel,,Government of Jordan,663,,1,West Bank,1967,2,2,1967-06-05,1,1967-06-05,1,666,,663,,"663, 666",2,1.0-2016
531,1-106,"Israel, Syria",Government of Israel,,Government of Syria,652,,1,Golan Heights,1967,2,2,1967-06-05,1,1967-06-05,1,666,,652,,"652, 666",2,1.0-2016
